No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier
1,2,2X 18650,"BT1,BT2",BAT-SMD_BH-18650-B1BA007,,BH-18650-B1BA007,MYOUNG(??),C6937126,LCSC
2,7,100nF,"C1,C6,C7,C8,C9,C10,C15",C0402,100nF,CL05B104KO5NNNC,SAMSUNG(??),C1525,LCSC
3,8,22uF,"C2,C3,C4,C5,C11,C12,C13,C14",C0805,22uF,CL21A226MAQNNNE,SAMSUNG(??),C45783,LCSC
4,1,SMN-303,CARD1,SIM-SMD_SMN-303,,SMN-303,XUNPU(??),C266888,LCSC
5,13,TPD1E1B04DPYR,"D1,D2,D3,D4,D5,D6,D7,D8,D24,D25,D26,D27,D28",X1SON-2_L1.0-W0.6-P0.65-BI-1,,TPD1E1B04DPYR,TI(????),C779408,LCSC
6,2,HX PZ2.54-1x3P TP-YQ,"J1,J2",HDR-SMD_3P-P2.54-V-M_HX-PZ2.54-1X3P-TP-YQ,,HX PZ2.54-1x3P TP-YQ,hanxia(??),C41417360,LCSC
7,9,ZX-MX1.25-4PLT,"J3,J4,J5,J6,J7,J8,J9,J10,J11",CONN-SMD_4P-P1.25_MEGASTAR_ZX-MX1.25-4PLT,,ZX-MX1.25-4PLT,Megastar(??),C7430475,LCSC
8,1,ZX-XH2.54-2PZZ,J12,CONN-TH_2P-P2.50_HX25003-2A,,ZX-XH2.54-2PZZ,Megastar(??),C7429632,LCSC
9,2,PM254V-11-02-H85,"J13,J14",HDR-TH_2P-P2.54-V-F,,PM254V-11-02-H85,XFCN(??),C541849,LCSC
10,2,1uH,"L1,L2",IND-SMD_L7.0-W6.6,1uH,FXL0630-1R0-M,cjiang(????),C167216,LCSC
11,1,KT-0603R,LED1,LED0603-RD,,KT-0603R,KENTO,C2286,LCSC
12,1,PCIE-52P52H,P1,CONN-SMD_PCIE-52P52H,,PCIE-52P52H,XUNPU(??),C266899,LCSC
13,1,200k?,R1,R0402,200k?,0402WGF2003TCE,UNI-ROYAL(??),C25764,LCSC
14,1,576k?,R2,R0402,576k?,0402WGF5763TCE,UNI-ROYAL(??),C27012,LCSC
15,6,511k?,"R3,R4,R7,R8,R14,R16",R0402,511k?,0402WGF5113TCE,UNI-ROYAL(??),C64042,LCSC
16,2,91k?,"R5,R15",R0402,91k?,0402WGF9102TCE,UNI-ROYAL(??),C4147,LCSC
17,2,10k?,"R6,R13",R0402,10k?,0402WGF1002TCE,UNI-ROYAL(??),C25744,LCSC
18,3,4.7k?,"R9,R10,R11",R0402,4.7k?,0402WGF4701TCE,UNI-ROYAL(??),C25900,LCSC
19,1,1k?,R12,R0402,1k?,0402WGF1001TCE,UNI-ROYAL(??),C11702,LCSC
20,4,22?,"R17,R18,R19,R20",R0402,22?,0402WGF220JTCE,UNI-ROYAL(??),C25092,LCSC
21,1,SK-3296S-01-L1,SW1,SW-SMD_3P-P1.50_L2.7-W6.6,,SK-3296S-01-L1,XKB Connection(????),C319020,LCSC
22,3,TS-1088-AR02016,"SW2,SW3,SW4",SW-SMD_L3.9-W3.0-P4.45,,TS-1088-AR02016,XUNPU(??),C720477,LCSC
23,3,Test-Point,"TP1,TP2,TP3",Test-Point-0.5mm,,,,,
24,1,TLV4041R1YKAR,U1,DSBGA-4_L0.7-W0.7-R2-C2-P0.35-TL,,TLV4041R1YKAR,TI(????),C2871475,LCSC
25,1,TPS631000DRLR,U2,SOT-583-8_L2.1-W1.2-P0.50-LS1.6-BL,,TPS631000DRLR,TI(????),C5219190,LCSC
26,1,ESP32-WROOM-32E-N8,U3,WIFI-SMD_ESP32-WROOM-32E,2.4GHz,ESP32-WROOM-32E-N8,ESPRESSIF(??),C701342,LCSC
27,1,BMP580,U4,LGA-10_L2.0-W2.0-P0.50-TL_BMP580,,BMP580,Bosch(??),C22391138,LCSC
28,1,CC6201ST,U5,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,,CC6201ST,CrossChip(????),C285995,LCSC
29,1,TPS61022RWUR,U6,VQFN-7_L2.0-W2.0-P0.55-TL_RWU,,TPS61022RWUR,TI(????),C915088,LCSC
