Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Pins,Layer,Rotation,SMD,Comment
BT1,BH-18650-B1BA007,BAT-SMD_BH-18650-B1BA007,20.25mm,-6mm,20.25mm,-6mm,10.7mm,34.855mm,4,B,270,Yes,2X 18650
BT2,BH-18650-B1BA007,BAT-SMD_BH-18650-B1BA007,-20.25mm,-6mm,-20.25mm,-6mm,-10.7mm,-46.855mm,4,B,90,Yes,2X 18650
C1,CL05B104KO5NNNC,C0402,-25.75mm,-36mm,-25.75mm,-36mm,-25.33mm,-36mm,2,T,180,Yes,100nF
C2,CL21A226MAQNNNE,C0805,-25.75mm,-32.5mm,-25.75mm,-32.5mm,-24.75mm,-32.5mm,2,T,180,Yes,22uF
C3,CL21A226MAQNNNE,C0805,-25.75mm,-27.5mm,-25.75mm,-27.5mm,-24.75mm,-27.5mm,2,T,180,Yes,22uF
C4,CL21A226MAQNNNE,C0805,-25.75mm,-25.5mm,-25.75mm,-25.5mm,-24.75mm,-25.5mm,2,T,180,Yes,22uF
C5,CL21A226MAQNNNE,C0805,-26.75mm,-4.5mm,-26.75mm,-4.5mm,-27.75mm,-4.5mm,2,T,0,Yes,22uF
C6,CL05B104KO5NNNC,C0402,-26.75mm,-2.75mm,-26.75mm,-2.75mm,-26.33mm,-2.75mm,2,T,180,Yes,100nF
C7,CL05B104KO5NNNC,C0402,-24.5mm,-7.5mm,-24.5mm,-7.5mm,-24.08mm,-7.5mm,2,T,180,Yes,100nF
C8,CL05B104KO5NNNC,C0402,-26.5mm,-12.25mm,-26.5mm,-12.25mm,-26.08mm,-12.25mm,2,T,180,Yes,100nF
C9,CL05B104KO5NNNC,C0402,-18.5mm,31.75mm,-18.5mm,31.75mm,-18.92mm,31.75mm,2,T,0,Yes,100nF
C10,CL05B104KO5NNNC,C0402,-2.25mm,70mm,-2.25mm,70mm,-2.25mm,69.58mm,2,T,90,Yes,100nF
C11,CL21A226MAQNNNE,C0805,25.8mm,-40.175mm,25.8mm,-40.175mm,24.8mm,-40.175mm,2,T,0,Yes,22uF
C12,CL21A226MAQNNNE,C0805,26.8mm,-33.175mm,26.8mm,-33.175mm,27.8mm,-33.175mm,2,T,180,Yes,22uF
C13,CL21A226MAQNNNE,C0805,26.8mm,-31.175mm,26.8mm,-31.175mm,27.8mm,-31.175mm,2,T,180,Yes,22uF
C14,CL21A226MAQNNNE,C0805,26.8mm,-29.175mm,26.8mm,-29.175mm,27.8mm,-29.175mm,2,T,180,Yes,22uF
C15,CL05B104KO5NNNC,C0402,10.5mm,0.75mm,10.5mm,0.75mm,10.5mm,0.33mm,2,T,90,Yes,100nF
CARD1,SMN-303,SIM-SMD_SMN-303,18.75mm,0mm,18.75mm,0mm,25.422mm,6.5mm,11,T,90,Yes,SMN-303
D1,TPD1E1B04DPYR,X1SON-2_L1.0-W0.6-P0.65-BI-1,-29mm,27.5mm,-29mm,27.5mm,-29.5mm,27.5mm,2,T,0,Yes,TPD1E1B04DPYR
D2,TPD1E1B04DPYR,X1SON-2_L1.0-W0.6-P0.65-BI-1,-29mm,22.5mm,-29mm,22.5mm,-29.5mm,22.5mm,2,T,0,Yes,TPD1E1B04DPYR
D3,TPD1E1B04DPYR,X1SON-2_L1.0-W0.6-P0.65-BI-1,-12.75mm,-21.25mm,-12.75mm,-21.25mm,-12.75mm,-21.75mm,2,T,90,Yes,TPD1E1B04DPYR
D4,TPD1E1B04DPYR,X1SON-2_L1.0-W0.6-P0.65-BI-1,-12.75mm,-18.75mm,-12.75mm,-18.75mm,-12.75mm,-19.25mm,2,T,90,Yes,TPD1E1B04DPYR
D5,TPD1E1B04DPYR,X1SON-2_L1.0-W0.6-P0.65-BI-1,-12.75mm,-16.25mm,-12.75mm,-16.25mm,-12.75mm,-15.75mm,2,T,270,Yes,TPD1E1B04DPYR
D6,TPD1E1B04DPYR,X1SON-2_L1.0-W0.6-P0.65-BI-1,-27mm,38.25mm,-27mm,38.25mm,-27.5mm,38.25mm,2,T,0,Yes,TPD1E1B04DPYR
D7,TPD1E1B04DPYR,X1SON-2_L1.0-W0.6-P0.65-BI-1,-22.25mm,38.25mm,-22.25mm,38.25mm,-22.75mm,38.25mm,2,T,0,Yes,TPD1E1B04DPYR
D8,TPD1E1B04DPYR,X1SON-2_L1.0-W0.6-P0.65-BI-1,-20.25mm,38.25mm,-20.25mm,38.25mm,-20.75mm,38.25mm,2,T,0,Yes,TPD1E1B04DPYR
D9,TPD1E1B04DPYR,X1SON-2_L1.0-W0.6-P0.65-BI-1,-3.5mm,21.75mm,-3.5mm,21.75mm,-3.5mm,22.25mm,2,T,270,Yes,TPD1E1B04DPYR
D10,TPD1E1B04DPYR,X1SON-2_L1.0-W0.6-P0.65-BI-1,-3.5mm,24.25mm,-3.5mm,24.25mm,-3.5mm,24.75mm,2,T,270,Yes,TPD1E1B04DPYR
D11,TPD1E1B04DPYR,X1SON-2_L1.0-W0.6-P0.65-BI-1,-3.5mm,26.75mm,-3.5mm,26.75mm,-3.5mm,26.25mm,2,T,90,Yes,TPD1E1B04DPYR
D12,TPD1E1B04DPYR,X1SON-2_L1.0-W0.6-P0.65-BI-1,-3.5mm,11mm,-3.5mm,11mm,-3.5mm,11.5mm,2,T,270,Yes,TPD1E1B04DPYR
D13,TPD1E1B04DPYR,X1SON-2_L1.0-W0.6-P0.65-BI-1,-3.5mm,13.5mm,-3.5mm,13.5mm,-3.5mm,14mm,2,T,270,Yes,TPD1E1B04DPYR
D14,TPD1E1B04DPYR,X1SON-2_L1.0-W0.6-P0.65-BI-1,-3.5mm,16mm,-3.5mm,16mm,-3.5mm,15.5mm,2,T,90,Yes,TPD1E1B04DPYR
D15,TPD1E1B04DPYR,X1SON-2_L1.0-W0.6-P0.65-BI-1,-3.5mm,0.25mm,-3.5mm,0.25mm,-3.5mm,0.75mm,2,T,270,Yes,TPD1E1B04DPYR
D16,TPD1E1B04DPYR,X1SON-2_L1.0-W0.6-P0.65-BI-1,-3.5mm,2.75mm,-3.5mm,2.75mm,-3.5mm,3.25mm,2,T,270,Yes,TPD1E1B04DPYR
D17,TPD1E1B04DPYR,X1SON-2_L1.0-W0.6-P0.65-BI-1,-3.5mm,5.25mm,-3.5mm,5.25mm,-3.5mm,4.75mm,2,T,90,Yes,TPD1E1B04DPYR
D18,TPD1E1B04DPYR,X1SON-2_L1.0-W0.6-P0.65-BI-1,-3.5mm,-10.5mm,-3.5mm,-10.5mm,-3.5mm,-10mm,2,T,270,Yes,TPD1E1B04DPYR
D19,TPD1E1B04DPYR,X1SON-2_L1.0-W0.6-P0.65-BI-1,-3.5mm,-8mm,-3.5mm,-8mm,-3.5mm,-7.5mm,2,T,270,Yes,TPD1E1B04DPYR
D20,TPD1E1B04DPYR,X1SON-2_L1.0-W0.6-P0.65-BI-1,-3.5mm,-5.5mm,-3.5mm,-5.5mm,-3.5mm,-6mm,2,T,90,Yes,TPD1E1B04DPYR
D21,TPD1E1B04DPYR,X1SON-2_L1.0-W0.6-P0.65-BI-1,-3.5mm,-21.25mm,-3.5mm,-21.25mm,-3.5mm,-20.75mm,2,T,270,Yes,TPD1E1B04DPYR
D22,TPD1E1B04DPYR,X1SON-2_L1.0-W0.6-P0.65-BI-1,-3.5mm,-18.75mm,-3.5mm,-18.75mm,-3.5mm,-18.25mm,2,T,270,Yes,TPD1E1B04DPYR
D23,TPD1E1B04DPYR,X1SON-2_L1.0-W0.6-P0.65-BI-1,-3.5mm,-16.25mm,-3.5mm,-16.25mm,-3.5mm,-16.75mm,2,T,90,Yes,TPD1E1B04DPYR
D24,TPD1E1B04DPYR,X1SON-2_L1.0-W0.6-P0.65-BI-1,9.25mm,0.75mm,9.25mm,0.75mm,9.25mm,1.25mm,2,T,270,Yes,TPD1E1B04DPYR
D25,TPD1E1B04DPYR,X1SON-2_L1.0-W0.6-P0.65-BI-1,10.25mm,-2.25mm,10.25mm,-2.25mm,9.75mm,-2.25mm,2,T,0,Yes,TPD1E1B04DPYR
D26,TPD1E1B04DPYR,X1SON-2_L1.0-W0.6-P0.65-BI-1,11.25mm,-6.5mm,11.25mm,-6.5mm,11.25mm,-7mm,2,T,90,Yes,TPD1E1B04DPYR
D27,TPD1E1B04DPYR,X1SON-2_L1.0-W0.6-P0.65-BI-1,10.25mm,2.5mm,10.25mm,2.5mm,9.75mm,2.5mm,2,T,0,Yes,TPD1E1B04DPYR
D28,TPD1E1B04DPYR,X1SON-2_L1.0-W0.6-P0.65-BI-1,10.25mm,-3.5mm,10.25mm,-3.5mm,9.75mm,-3.5mm,2,T,0,Yes,TPD1E1B04DPYR
J1,HX PZ2.54-1x3P TP-YQ,HDR-SMD_3P-P2.54-V-M_HX-PZ2.54-1X3P-TP-YQ,-21.5mm,-40.25mm,-21.5mm,-40.25mm,-19.9mm,-42.79mm,3,T,90,Yes,HX PZ2.54-1x3P TP-YQ
J2,HX PZ2.54-1x3P TP-YQ,HDR-SMD_3P-P2.54-V-M_HX-PZ2.54-1X3P-TP-YQ,-24.75mm,25mm,-24.75mm,25mm,-26.35mm,27.54mm,3,T,270,Yes,HX PZ2.54-1x3P TP-YQ
J3,ZX-MX1.25-4PLT,CONN-SMD_4P-P1.25_MEGASTAR_ZX-MX1.25-4PLT,-20mm,44.25mm,-20mm,44.25mm,-21.475mm,42.375mm,6,T,90,Yes,ZX-MX1.25-4PLT
J4,ZX-MX1.25-4PLT,CONN-SMD_4P-P1.25_MEGASTAR_ZX-MX1.25-4PLT,-9.5mm,-18.75mm,-9.5mm,-18.75mm,-10.975mm,-20.625mm,6,T,90,Yes,ZX-MX1.25-4PLT
J5,ZX-MX1.25-4PLT,CONN-SMD_4P-P1.25_MEGASTAR_ZX-MX1.25-4PLT,-26mm,44.25mm,-26mm,44.25mm,-27.475mm,42.375mm,6,T,90,Yes,ZX-MX1.25-4PLT
J6,ZX-MX1.25-4PLT,CONN-SMD_4P-P1.25_MEGASTAR_ZX-MX1.25-4PLT,-32mm,44.25mm,-32mm,44.25mm,-33.475mm,42.375mm,6,T,90,Yes,ZX-MX1.25-4PLT
J7,ZX-MX1.25-4PLT,CONN-SMD_4P-P1.25_MEGASTAR_ZX-MX1.25-4PLT,-0.25mm,24.25mm,-0.25mm,24.25mm,-1.725mm,22.375mm,6,T,90,Yes,ZX-MX1.25-4PLT
J8,ZX-MX1.25-4PLT,CONN-SMD_4P-P1.25_MEGASTAR_ZX-MX1.25-4PLT,-0.25mm,13.5mm,-0.25mm,13.5mm,-1.725mm,11.625mm,6,T,90,Yes,ZX-MX1.25-4PLT
J9,ZX-MX1.25-4PLT,CONN-SMD_4P-P1.25_MEGASTAR_ZX-MX1.25-4PLT,-0.25mm,2.75mm,-0.25mm,2.75mm,-1.725mm,0.875mm,6,T,90,Yes,ZX-MX1.25-4PLT
J10,ZX-MX1.25-4PLT,CONN-SMD_4P-P1.25_MEGASTAR_ZX-MX1.25-4PLT,-0.25mm,-8mm,-0.25mm,-8mm,-1.725mm,-9.875mm,6,T,90,Yes,ZX-MX1.25-4PLT
J11,ZX-MX1.25-4PLT,CONN-SMD_4P-P1.25_MEGASTAR_ZX-MX1.25-4PLT,-0.25mm,-18.75mm,-0.25mm,-18.75mm,-1.725mm,-20.625mm,6,T,90,Yes,ZX-MX1.25-4PLT
J12,ZX-XH2.54-2PZZ,CONN-TH_2P-P2.50_HX25003-2A,-14mm,46.25mm,-14mm,46.25mm,-14mm,45mm,2,T,90,No,ZX-XH2.54-2PZZ
J13,PM254V-11-02-H85,HDR-TH_2P-P2.54-V-F,-8mm,40mm,-8mm,40mm,-8mm,41.27mm,2,T,270,No,PM254V-11-02-H85
J14,PM254V-11-02-H85,HDR-TH_2P-P2.54-V-F,33mm,40mm,33mm,40mm,33mm,41.27mm,2,T,270,No,PM254V-11-02-H85
J15,ZX-XH2.54-2PZZ,CONN-TH_2P-P2.50_HX25003-2A,0mm,-47.6mm,0mm,-47.6mm,1.25mm,-47.6mm,2,T,180,No,ZX-XH2.54-2PZZ
L1,FXL0630-1R0-M,IND-SMD_L7.0-W6.6,-31.25mm,-30mm,-31.25mm,-30mm,-31.25mm,-33mm,2,T,90,Yes,1uH
L2,FXL0630-1R0-M,IND-SMD_L7.0-W6.6,31.55mm,-39.925mm,31.55mm,-39.925mm,31.55mm,-42.925mm,2,T,90,Yes,1uH
LED1,KT-0603R,LED0603-RD,-7.75mm,16.75mm,-7.75mm,16.75mm,-7.75mm,17.499mm,2,T,270,Yes,KT-0603R
P1,PCIE-52P52H_C266899,CONN-SMD_PCIE-52P52H,18.75mm,-21.5mm,18.75mm,-21.5mm,6.95mm,-25.6mm,54,T,0,Yes,PCIE-52P52H
R1,0402WGF2003TCE,R0402,-17.5mm,-38.25mm,-17.5mm,-38.25mm,-17.5mm,-37.817mm,2,T,270,Yes,200k?
R2,0402WGF5763TCE,R0402,-17.5mm,-42.25mm,-17.5mm,-42.25mm,-17.5mm,-41.817mm,2,T,270,Yes,576k?
R3,0402WGF5113TCE,R0402,-26.25mm,-38.5mm,-26.25mm,-38.5mm,-25.817mm,-38.5mm,2,T,180,Yes,511k?
R4,0402WGF5113TCE,R0402,-23.025mm,-27.375mm,-23.025mm,-27.375mm,-23.025mm,-27.808mm,2,T,90,Yes,511k?
R5,0402WGF9102TCE,R0402,-22.575mm,-29mm,-22.575mm,-29mm,-23.008mm,-29mm,2,T,0,Yes,91k?
R6,0402WGF1002TCE,R0402,-24.5mm,-6.25mm,-24.5mm,-6.25mm,-24.067mm,-6.25mm,2,T,180,Yes,10k?
R7,0402WGF5113TCE,R0402,-19.75mm,-3.5mm,-19.75mm,-3.5mm,-19.75mm,-3.933mm,2,T,90,Yes,511k?
R8,0402WGF5113TCE,R0402,-18.5mm,-3.5mm,-18.5mm,-3.5mm,-18.5mm,-3.067mm,2,T,270,Yes,511k?
R9,0402WGF4701TCE,R0402,-23.2mm,36.7mm,-23.2mm,36.7mm,-22.767mm,36.7mm,2,T,180,Yes,4.7k?
R10,0402WGF4701TCE,R0402,-20.3mm,36.7mm,-20.3mm,36.7mm,-20.733mm,36.7mm,2,T,0,Yes,4.7k?
R11,0402WGF4701TCE,R0402,-7.5mm,20.75mm,-7.5mm,20.75mm,-7.5mm,20.317mm,2,T,90,Yes,4.7k?
R12,0402WGF1001TCE,R0402,-7.75mm,14.25mm,-7.75mm,14.25mm,-7.75mm,14.683mm,2,T,270,Yes,1k?
R13,0402WGF1002TCE,R0402,-15.5mm,20.75mm,-15.5mm,20.75mm,-15.5mm,20.317mm,2,T,90,Yes,10k?
R14,0402WGF5113TCE,R0402,22.55mm,-36.425mm,22.55mm,-36.425mm,22.117mm,-36.425mm,2,T,0,Yes,511k?
R15,0402WGF9102TCE,R0402,22.55mm,-37.675mm,22.55mm,-37.675mm,22.117mm,-37.675mm,2,T,0,Yes,91k?
R16,0402WGF5113TCE,R0402,22.55mm,-38.925mm,22.55mm,-38.925mm,22.983mm,-38.925mm,2,T,180,Yes,511k?
R17,0402WGF220JTCE,R0402,12.5mm,-13.5mm,12.5mm,-13.5mm,12.5mm,-13.933mm,2,T,90,Yes,22?
R18,0402WGF220JTCE,R0402,11.25mm,-13.5mm,11.25mm,-13.5mm,11.25mm,-13.933mm,2,T,90,Yes,22?
R19,0402WGF220JTCE,R0402,14mm,-13.5mm,14mm,-13.5mm,14mm,-13.933mm,2,T,90,Yes,22?
R20,0402WGF220JTCE,R0402,10mm,-13.5mm,10mm,-13.5mm,10mm,-13.933mm,2,T,90,Yes,22?
SW1,SK-3296S-01-L1,SW-SMD_3P-P1.50_L2.7-W6.6,-32.5mm,-39.5mm,-32.5mm,-39.5mm,-30.941mm,-37.25mm,7,T,270,Yes,SK-3296S-01-L1
SW2,TS-1088-AR02016,SW-SMD_L3.9-W3.0-P4.45,-26.5mm,-10mm,-26.5mm,-10mm,-28.685mm,-10mm,2,T,0,Yes,TS-1088-AR02016
SW3,TS-1088-AR02016,SW-SMD_L3.9-W3.0-P4.45,-9.75mm,21.75mm,-9.75mm,21.75mm,-9.75mm,19.565mm,2,T,90,Yes,TS-1088-AR02016
SW4,TS-1088-AR02016,SW-SMD_L3.9-W3.0-P4.45,-13.25mm,21.75mm,-13.25mm,21.75mm,-13.25mm,19.565mm,2,T,90,Yes,TS-1088-AR02016
TP1,Test-Point,Test-Point-0.5mm,-15.25mm,-32mm,-15.25mm,-32mm,-15.25mm,-32mm,1,T,0,Yes,Test-Point
TP2,Test-Point,Test-Point-0.5mm,-5.25mm,-27.75mm,-5.25mm,-27.75mm,-5.25mm,-27.75mm,1,T,0,Yes,Test-Point
TP3,Test-Point,Test-Point-0.5mm,19mm,-37.25mm,19mm,-37.25mm,19mm,-37.25mm,1,T,0,Yes,Test-Point
U1,TLV4041R1YKAR,DSBGA-4_L0.7-W0.7-R2-C2-P0.35-TL,-25.75mm,-37.25mm,-25.75mm,-37.25mm,-25.575mm,-37.425mm,4,T,180,Yes,TLV4041R1YKAR
